Hue,Saturation,Value,Contrast,Energy,Edge_Ratio,Shape_Area,Shape_Perimeter,Circularity,Class
22.40645,72.48095,145.941825,2337.71283919598,0.02423645883207301,0.26975,2036.5,3806.876652956009,0.001765861620374596,Chia
27.366075,27.697425,173.326075,644.0206030150754,0.0660200203712553,0.081525,180.5,584.82546210289,0.006631847407530834,Chia
18.819725,106.87185,108.632575,2026.0741457286435,0.007526687952852011,0.3521,1079.0,2628.581064581871,0.0019624046242641816,Chia
22.000175,80.137675,120.0505,3271.5973618090457,0.006510107949760698,0.361075,2019.5,3532.543611764908,0.0020336614538979223,Chia
21.2968,79.127875,134.013675,3997.85055276382,0.007667084500826212,0.3605,1051.0,1939.3464435338974,0.0035115736691149523,Chia
37.821175,42.641525,140.001075,704.2671608040201,0.05867305190221239,0.16085,431.5,1011.9869302511215,0.005294693891326139,Chia
37.325,40.31135,173.087025,857.8381658291454,0.067054601164912,0.1689,743.0,572.2985508441925,0.028507122723361457,Chia
21.10275,88.744825,69.9306,816.2810552763822,0.013814800611717736,0.327025,871.5,1418.1189604997635,0.005445677623742068,Chia
21.0015,88.8207,84.935775,1188.5643718592964,0.011797024246229838,0.339125,1271.5,3405.2055176496506,0.0013779693942503359,Chia
25.69885,83.635875,88.896325,363.86791457286427,0.026863485719060307,0.234925,587.0,782.6072064638138,0.012043709730679829,Chia
20.8912,88.70435,82.646575,1755.4033668341706,0.009005688995405213,0.341125,1307.5,2460.7160625457764,0.0027134920482559033,Chia
24.135775,71.338225,123.8246,3386.721381909547,0.006610213258301064,0.3633,2157.0,4003.285812973976,0.0016913240099798998,Chia
20.080275,91.9458,83.8173,1611.893869346734,0.008751440591782834,0.34845,1164.5,2833.652133345604,0.001822452798063643,Chia
20.553,93.1659,129.104975,3517.3778140703516,0.012615142274292486,0.319975,726.0,1428.1017149686813,0.004473301837758728,Chia
38.550175,40.34245,133.34465,2440.7582914572868,0.02808972185564368,0.3081,2058.5,2646.338425517082,0.0036937710189612117,Chia
21.265675,85.236975,99.883775,1391.1015829145729,0.01924914203160245,0.3027,2194.5,2707.2257276773453,0.0037626733025490364,Chia
18.5461,83.579925,125.256125,2189.758944723618,0.1173290755391413,0.3064,2618.5,3588.342600941658,0.002555492672828993,Chia
34.18325,50.736775,124.347975,556.9708291457287,0.07294551662194562,0.214375,2305.0,3622.099960565567,0.002207801025122398,Chia
19.24525,99.514625,83.957225,1323.6600753768844,0.011225814610254188,0.327,2093.5,4552.748797059059,0.001269215749826175,Chia
19.361425,97.442225,91.1739,1383.1305778894477,0.010568649803915883,0.3359,1840.5,1098.1534504890442,0.019178720269053335,Chia
24.3041,78.71105,77.884775,642.4850502512563,0.018294209509106752,0.315375,1967.5,1381.9768244028091,0.012945626862303203,Chia
19.722275,78.517125,105.7783,1212.9984422110551,0.07966255241337497,0.328425,1551.5,2891.274496793747,0.0023322923785157605,Chia
30.398325,39.083125,169.53605,1299.231658291457,0.06513583947336055,0.14745,428.0,1168.3960906267166,0.0039397933486687515,Chia
20.92245,71.952075,142.54935,1422.9840201005024,0.01980283678258652,0.2495,491.5,1710.9961568117142,0.0021097709985165762,Chia
14.61295,92.19655,141.210925,1478.612462311558,0.007510945020006354,0.32665,10498.5,10449.238914847374,0.0012082805881481072,Chia
15.215325,99.77415,87.417375,732.1844723618091,0.012066542041214757,0.267975,436.0,1530.788006067276,0.0023381170650914607,Chia
21.1588,72.400725,128.175425,643.2175376884423,0.015145982064817059,0.2199,695.5,856.874231338501,0.011903449484823105,Chia
17.742575,66.203425,118.481025,924.8051507537687,0.009577364114738363,0.279275,1134.5,1116.8986177444458,0.011428437493643296,Chia
112.805025,41.83195,133.1452,557.2017085427136,0.009464094068555704,0.27165,1007.5,2943.1323602199554,0.0014616228743143409,Chia
26.555675,35.364525,155.14735,1095.8320854271356,0.03945893706692635,0.2817,2855.5,1573.8834590911865,0.014485946811665238,Chia
13.747425,53.935025,117.271125,503.8468341708543,0.00950240493788522,0.28565,2935.5,4103.126429915428,0.002191099756028676,Chia
14.007675,83.749525,99.6089,458.75022613065323,0.01049290573101814,0.28725,506.0,646.8670923709869,0.015196034280141055,Chia
15.739275,111.50545,71.82355,334.51701005025126,0.015397316211978412,0.214125,243.5,201.2375875711441,0.07555976957090023,Chia
43.748425,13.843025,177.12715,212.03442211055278,0.07629570024193491,0.033025,146.5,308.9188268184662,0.019291177410295096,Chia
12.529975,87.465525,104.4837,315.12459798994973,0.011762725902766741,0.254325,992.5,2288.691674232483,0.002381035112950654,Chia
